node,name,RTT_ms,interest_receive_time,interest_sent_time,interest_latency,data_receive_time,data_sent_time,data_latency,parsing,processing,sending_time,functions
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61085.167248010635,0,,0,0,,0.64,21.44,23.68,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.02,0.00,21.79,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61085.25446295738,0,,0,0,,0.31,13.93,25.29,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.00,0.00,21.31,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61085.29453110695,0,,0,0,,1.71,8.90,67.38,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61085.401591062546,0,,0,0,,0.14,44.76,23.23,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61085.420238018036,0,,0,0,,0.10,3.18,21.83,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.03,0.00,21.57,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61085.46727490425,0,,0,0,,0.06,0.94,22.28,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61085.50903606415,0,,0,0,,0.07,3.27,21.08,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61085.535522937775,0,,0,0,,0.09,0.00,22.04,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.02,0.00,20.67,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.04,0.00,22.97,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61085.60142493248,0,,0,0,,0.17,6.05,21.53,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61085.633392095566,0,,0,0,,0.31,0.00,21.51,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61085.65748810768,0,,0,0,,0.14,10.16,27.05,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.02,0.00,20.36,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61090.74504804611,0,,0,0,,0.63,2.85,21.42,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61090.80872297287,0,,0,0,,0.26,5.37,25.26,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61090.888879060745,0,,0,0,,2.16,7.48,25.71,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61090.91247200966,0,,0,0,,0.08,6.01,21.33,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.02,0.00,21.70,[]
1

/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61803.36801600456,0,,0,61803.619455099106,,44.48,252.62,114762.23,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61923.67814397812,0,,0,0,,1.05,2.39,25.33,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61923.70863008499,0,,0,0,,0.03,0.91,20.18,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61923.75642609596,0,,0,0,,0.08,0.78,21.79,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61923.80623102188,0,,0,0,,0.16,1.74,23.42,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.00,0.00,25.15,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61923.86529588699,0,,0,0,,0.05,0.85,25.17,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61923.911089897156,0,,0,0,,0.04,0.86,20.56,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61923.94229888916,0,,0,0,,0.04,0.80,21.57,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61923.991403102875,0,,0,0,,0.05,0.96,25.15,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61924.03140807152,0,,0,0,,0.04,0.88,25.13,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61924.07459497452,0,,0,0,,0.03,0.77,25.13,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61924.1049580574,0,,0,0,,0.03,0.74,20.59,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61924.14839506149,0,,0,0,,0.03,0.79,21.07,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61924.21049809456,0,,0,0,,0.04,2.00,25.09,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,25.10,[]
