node,name,RTT_ms,interest_receive_time,interest_sent_time,interest_latency,data_receive_time,data_sent_time,data_latency,parsing_time,processing_time,send_time,functions
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,22.26,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66381.11703109741,0,,0,0,,0.05,0.75,22.82,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66381.17043209076,0,,0,0,,0.04,1.01,25.17,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66381.21585392952,0,,0,0,,0.14,0.91,25.08,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66381.2579460144,0,,0,0,,0.04,0.58,20.70,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66381.31772994995,0,,0,0,,0.11,1.02,25.12,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66381.3339419365,0,,0,0,,0.04,0.41,21.94,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.00,0.00,20.52,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66381.40066504478,0,,0,0,,0.03,0.73,25.14,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66381.43593096733,0,,0,0,,0.04,0.89,22.94,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66381.4739780426,0,,0,0,,0.03,1.15,21.55,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66381.53755688667,0,,0,0,,0.15,0.84,25.31,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66381.60490608215,0,,0,0,,0.04,0.78,24.55,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66386.37658309937,0,,0,0,,0.10,0.78,21.40,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66386.40788698196,0,,0,0,,0.03,0.82,21.65,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66386.43978095055,0,,0,0,,0.05,0.35,21.80,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66386.51232004166,0,,0,0,,0.08,0.64,21.48,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66386.58317804337,0,,0,0,,1.19,3.58,33.37,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66386.62896800041,0,,0,0,,0.13,1.87,24.85,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66391.37485408783,0,,0,0,,0.09,1.02,20.69,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66391.40668010712,0,,0,0,,0.04,0.74,22.91,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66391.43877911568,0,,0,0,,0.03,0.52,24.62,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66391.50848698616,0,,0,0,,0.12,1.39,23.15,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.00,0.00,21.95,[]
1

/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66431.52569293976,0,,0,66431.81310105324,,43.76,289.01,114615.42,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66551.48791098595,0,,0,0,,0.17,1.66,21.28,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66551.5402469635,0,,0,0,,0.03,0.77,25.14,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66551.59882593155,0,,0,0,,0.05,1.40,24.84,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66551.6463201046,0,,0,0,,0.09,1.31,23.42,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66551.69682908058,0,,0,0,,0.03,0.90,25.15,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66551.73844099045,0,,0,0,,0.07,0.86,25.14,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66551.7785050869,0,,0,0,,0.03,0.68,25.16,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66551.8391520977,0,,0,0,,0.08,1.61,25.89,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,24.70,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66551.89810204506,0,,0,0,,0.03,0.72,21.18,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66551.94810009003,0,,0,0,,0.09,1.56,25.26,[]
